Depth (ft),SP,DT (edited)
10875,-20.96426858,101.9256308
10875.5,-20.93931929,96.90571049
10876,-20.92728625,93.87782205
10876.5,-20.95455871,90.8499336
10877,-21.03604782,85.98937583
10877.5,-21.15924541,85.98937583
10878,-21.28033374,85.72377158
10878.5,-21.35356361,85.61487384
10879,-21.38636636,85.45816733
10879.5,-21.45541006,85.45816733
10880,-21.65583014,81.75741479
10880.5,-22.02435839,79.20053121
10881,-22.51386403,75.36520584
10881.5,-23.03732188,75.36520584
10882,-23.53122313,75.36520584
10882.5,-23.97818622,73.89679378
10883,-24.39307092,72.65680137
10883.5,-24.81261377,71.41680895
10884,-25.28809389,70.17681654
10884.5,-25.87059671,68.93682413
10885,-26.57849177,67.69683172
10885.5,-27.38332624,66.45683931
10886,-28.23352763,65.2168469
10886.5,-29.08319281,63.94422311
10887,-29.89711642,65.6476317
10887.5,-30.65594639,67.39707835
10888,-31.3888876,69.14652501
10888.5,-32.1813843,70.8499336
10889,-33.09727604,71.3811421
10889.5,-34.04395872,71.9123506
10890,-34.73746854,71.9123506
10890.5,-34.85978332,75.43160691
10891,-34.29809523,77.95484728
10891.5,-33.24360062,80.47808765
10892,-32.04976098,83.00132802
10892.5,-30.97932343,85.19256308
10893,-30.06108466,84.43116423
10893.5,-29.15233627,83.75830013
10894,-28.12156425,83.25128932
10894.5,-26.98387463,82.35843196
10895,-25.8948098,83.32287314
10895.5,-25.03227987,83.67476071
10896,-24.47427231,84.04743548
10896.5,-24.15630353,90.44477435
10897,-23.93772854,95.41914781
10897.5,-23.69858599,95.73557868
10898,-23.39692994,95.85893529
10898.5,-23.06121924,96.36573555
10899,-22.74878164,97.77692402
10899.5,-22.5043022,99.10512104
10900,-22.30961043,100.0039169
10900.5,-22.06857964,101.4767431
10901,-21.68285374,102.2766232
10901.5,-21.20749881,102.640975
10902,-20.92524286,102.4568393
10902.5,-21.1868461,99.20318725
10903,-22.09369736,97.25099602
10903.5,-23.32257489,95.29880478
10904,-24.31227631,93.34661355
10904.5,-24.66970509,91.39442231
10905,-24.43143704,89.44223108
10905.5,-23.94139671,90.80819579
10906,-23.5071197,92.1741605
10906.5,-23.18709398,93.54012521
10907,-22.87339359,94.90608993
10907.5,-22.50958469,96.27205464
10908,-22.18232152,97.63801935
10908.5,-22.01754576,99.00398406
10909,-22.03825873,100.3699488
10909.5,-22.15044717,102.1912351
10910,-22.2505123,102.1912351
10910.5,-22.31586434,102.1912351
10911,-22.38464213,101.0908746
10911.5,-22.47049116,100.2656043
10912,-22.52330456,99.4403339
10912.5,-22.46795669,98.61506356
10913,-22.27745357,97.78979321
10913.5,-21.99429552,96.96452286
10914,-21.69391819,96.13925251
10914.5,-21.43288432,95.31398217
10915,-21.2177237,94.48871182
10915.5,-21.00754403,95.81673307
10916,-20.74955092,95.81673307
10916.5,-20.43434262,95.68393094
10917,-20.13073539,95.60424967
10917.5,-19.95910712,95.52456839
10918,-20.00328643,95.44488712
10918.5,-20.2395636,95.36520584
10919,-20.55897376,95.28552457
10919.5,-20.86601962,96.04913679
10920,-21.14657949,96.812749
10920.5,-21.43219179,97.57636122
10921,-21.71364023,98.33997344
10921.5,-21.91533195,99.10358566
10922,-21.95955853,99.86719788
10922.5,-21.84204257,100.6308101
10923,-21.63174163,101.3944223
10923.5,-21.40844115,101.1288181
10924,-21.21893496,101.1288181
10924.5,-21.0880116,99.35812306
10925,-21.0442078,98.29570606
10925.5,-21.11048313,96.87915007
10926,-21.27129462,96.74634794
10926.5,-21.46883908,96.61354582
10927,-21.64707824,97.45462594
10927.5,-21.80020077,98.08543603
10928,-21.96574927,98.71624613
10928.5,-22.16734292,99.34705622
10929,-22.36946688,99.97786631
10929.5,-22.4950077,100.6086764
10930,-22.48709337,101.6600266
10930.5,-22.35332782,101.6600266
10931,-22.15209845,101.2616202
10931.5,-21.94456091,100.9628154
10932,-21.76501922,100.6640106
10932.5,-21.62812242,100.3652058
10933,-21.54711849,100.0664011
10933.5,-21.53286624,99.76759628
10934,-21.57704845,99.26958831
10934.5,-21.64975672,99.26958831
10935,-21.71973376,99.69455511
10935.5,-21.77542625,100.0132802
10936,-21.82505686,100.3320053
10936.5,-21.87894218,100.6507304
10937,-21.93785864,100.9694555
10937.5,-21.99691773,101.3944223
10938,-22.05414722,100.4648074
10938.5,-22.11202899,99.53519256
10939,-22.17168554,100.1328021
10939.5,-22.22916385,100.5810093
10940,-22.28117783,101.0292165
10940.5,-22.33298368,101.4774236
10941,-22.39548221,101.9256308
10941.5,-22.47137106,100.8798141
10942,-22.54087339,99.83399734
10942.5,-22.5656336,98.78818061
10943,-22.51119705,97.74236388
10943.5,-22.3699439,96.34794157
10944,-22.16617334,96.34794157
10944.5,-21.94163307,99.4189907
10945,-21.73251045,101.2616202
10945.5,-21.54992828,103.1042497
10946,-21.37428977,106.1752988
10946.5,-21.17191073,106.1752988
10947,-20.92979952,104.0504648
10947.5,-20.6827369,102.4568393
10948,-20.50204472,100.8632138
10948.5,-20.44675644,99.26958831
10949,-20.51777025,97.67596282
10949.5,-20.65770076,99.40239044
10950,-20.79821507,101.1288181
10950.5,-20.90784732,102.8552457
10951,-20.99999429,104.5816733
10951.5,-21.1016321,104.8472776
10952,-21.22015915,104.8472776
10952.5,-21.33868621,102.5232404
10953,-21.44032401,101.1288181
10953.5,-21.53247098,99.73439575
10954,-21.6419156,97.41035857
10954.5,-21.78206907,97.41035857
10955,-21.92192192,99.53519256
10955.5,-21.99346861,101.6600266
10956,-21.9388593,101.5949834
10956.5,-21.75763124,99.98161346
10957,-21.50840246,98.71563963
10957.5,-21.26488523,97.54084101
10958,-21.06502516,97.26548371
10958.5,-20.89447323,97.56301754
10959,-20.71238769,98.8425064
10959.5,-20.49419925,100.3617643
10960,-20.25885276,101.2299522
10960.5,-20.06267264,102.7503906
10961,-19.96468295,103.6358575
10961.5,-19.98791945,104.1871992
10962,-20.10294123,103.9393837
10962.5,-20.25030797,100.2376915
10963,-20.3824562,97.74603443
10963.5,-20.49140795,95.50636977
10964,-20.60010024,91.56706507
10964.5,-20.72705733,91.56706507
10965,-20.86186417,93.89110226
10965.5,-20.97732067,95.63413015
10966,-21.06865012,97.37715803
10966.5,-21.1735781,99.12018592
10967,-21.33941092,100.8632138
10967.5,-21.56258176,100.8632138
10968,-21.76675563,100.8632138
10968.5,-21.85130714,98.53917663
10969,-21.76549268,97.14475432
10969.5,-21.53625952,97.99136786
10970,-21.2328417,98.83798141
10970.5,-20.92218798,99.68459495
10971,-20.66059269,100.5312085
10971.5,-20.50335347,101.6600266
10972,-20.49079234,101.6600266
10972.5,-20.61630706,101.6600266
10973,-20.81804006,100.5312085
10973.5,-21.02182346,99.68459495
10974,-21.19054107,98.83798141
10974.5,-21.33239275,97.99136786
10975,-21.47185101,97.14475432
10975.5,-21.62524748,96.87915007
10976,-21.79743894,96.87915007
10976.5,-21.98167351,99.75652944
10977,-22.1567895,101.4829571
10977.5,-22.30166189,103.7848606
10978,-22.42279106,103.6520584
10978.5,-22.56040627,103.5192563
10979,-22.74562788,101.2173528
10979.5,-22.94713689,99.31778348
10980,-23.07495463,96.70941307
10980.5,-23.05104507,96.59658977
10981,-22.87757222,98.31269788
10981.5,-22.63216034,99.86486919
10982,-22.39721042,101.705846
10982.5,-22.20009552,102.197048
10983,-22.01810724,101.6342604
10983.5,-21.82582267,101.6789438
10984,-21.62343252,101.1518418
10984.5,-21.42321779,97.80605869
10985,-21.22497503,95.28606233
10985.5,-21.01776091,92.35060187
10986,-20.80365592,92.46802738
10986.5,-20.60993559,96.60148914
10987,-20.47286478,99.44665781
10987.5,-20.40799979,102.9880478
10988,-20.39894254,102.9880478
10988.5,-20.41492708,102.9880478
10989,-20.43194998,100.1992032
10989.5,-20.43871906,97.41035857
10990,-20.42591451,97.41035857
10990.5,-20.38138897,99.07038513
10991,-20.30133721,100.0664011
10991.5,-20.19838335,101.3944223
10992,-20.0919391,101.3944223
10992.5,-19.99251992,98.4063745
10993,-19.9045173,96.61354582
10993.5,-19.84824765,94.22310757
10994,-19.86679154,94.22310757
10994.5,-19.99469737,96.76848163
10995,-20.21917728,98.29570606
10995.5,-20.48668334,100.3320053
10996,-20.75595925,100.3320053
10996.5,-21.03524492,101.2450199
10997,-21.34990425,101.7928287
10997.5,-21.67354683,102.3406375
10998,-21.90981546,103.2536521
10998.5,-21.95907154,103.2536521
10999,-21.80682499,102.450937
10999.5,-21.5382697,101.8489007
11000,-21.26250415,101.2468644
11000.5,-21.03349091,100.6448281
11001,-20.83469335,100.0664011
11001.5,-20.62900118,101.2428382
11002,-20.40432174,102.3748814
11002.5,-20.15700797,103.5069247
11003,-19.90000929,104.6389679
11003.5,-19.65879792,105.7710112
11004,-19.46355999,106.9030545
11004.5,-19.29211949,108.0350977
11005,-19.07592551,109.167141
11005.5,-18.79392362,110.4249668
11006,-18.63931813,110.063745
11006.5,-18.94255541,109.6573705
11007,-19.37095223,109.250996
11007.5,-20.79527117,108.8313413
11008,-22.24953582,110.1580345
11008.5,-22.62333614,111.5295485
11009,-23.2941796,112.9010624
11009.5,-27.14836471,114.2725764
11010,-35.11609449,116.002656
11010.5,-45.78386871,110.9754316
11011,-57.6908406,104.1686587
11011.5,-69.20101151,97.36188579
11012,-77.41879454,90.55511288
11012.5,-80.64260831,80.41168659
11013,-80.73393003,80.41168659
11013.5,-80.17007099,78.72443559
11014,-78.27517092,77.49003984
11014.5,-72.95279377,80.10996016
11015,-64.2601489,83.03585657
11015.5,-54.08707457,85.96175299
11016,-44.31508898,88.8876494
11016.5,-36.80308013,91.81354582
11017,-32.82442116,96.61354582
11017.5,-31.35035213,96.61354582
11018,-29.93280514,95.69278442
11018.5,-27.69224477,95.01549358
11019,-25.66014919,93.95750332
11019.5,-24.41923734,93.95750332
11020,-23.460512,95.65205843
11020.5,-22.52348911,96.83054449
11021,-21.8873263,98.00903054
11021.5,-21.48792744,99.1875166
11022,-21.02393166,100.3660027
11022.5,-20.5895637,101.6600266
11023,-20.06532997,101.6600266
11023.5,-19.3818262,101.6600266
11024,-18.63949799,101.6600266
11024.5,-18.0717421,101.6600266
11025,-17.87499872,103.0544489
11025.5,-18.0264411,105.3784861
11026,-18.33993194,105.3784861
11026.5,-18.62384428,103.0192563
11027,-18.81671407,101.2921647
11027.5,-18.97616314,99.56507304
11028,-19.161022,97.83798141
11028.5,-19.37557142,96.11088977
11029,-19.59054381,94.38379814
11029.5,-19.7984098,91.83266932
11030,-20.01315165,91.83266932
11030.5,-20.22774671,100.49668
11031,-20.39339836,106.7065073
11031.5,-20.45154297,105.7220009
11032,-20.37862959,104.6383356
11032.5,-20.21041858,103.5546702
11033,-20.01193163,102.4568393
11033.5,-19.83010115,103.954593
11034,-19.67100756,105.3810629
11034.5,-19.51459144,106.9551954
11035,-19.34836879,108.2576464
11035.5,-19.18228295,106.9190544
11036,-19.02951467,105.4990584
11036.5,-18.87908431,104.2177551
11037,-18.70278613,102.8427125
11037.5,-18.49564751,101.501555
11038,-18.31349996,99.56586783
11038.5,-18.25789697,99.487459
11039,-18.41195559,100.7384619
11039.5,-18.78075102,101.3376103
11040,-19.28522059,102.5529419
11040.5,-19.81026678,102.3453778
11041,-20.27346229,99.42458578
11041.5,-20.67394558,97.33466135
11042,-21.08565297,95.37051793
11042.5,-21.58570031,93.4063745
11043,-22.15594915,91.44223108
11043.5,-22.64300865,89.47808765
11044,-22.83898941,87.05179283
11044.5,-22.63446979,88.82310757
11045,-22.10470447,91.13944223
11045.5,-21.43771378,93.45577689
11046,-20.77772133,95.77211155
11046.5,-20.14737837,98.08844622
11047,-19.51693556,100.4047809
11047.5,-18.92043684,102.1912351
11048,-18.46914531,102.1912351
11048.5,-18.25094033,101.2081673
11049,-18.23573565,100.1414343
11049.5,-18.29728002,99.0747012
11050,-18.32335564,98.00796813
11050.5,-18.29723586,96.61354582
11051,-18.28061334,97.88047809
11051.5,-18.33598297,99.70916335
11052,-18.47156794,101.5378486
11052.5,-18.64747225,103.7848606
11053,-18.82087239,104.349004
11053.5,-18.97537442,105.0804781
11054,-19.11914814,105.8119522
11054.5,-19.26605028,106.5434263
11055,-19.421013,107.2749004
11055.5,-19.57910102,108.0063745
11056,-19.73355667,108.5657371
11056.5,-19.8832853,107.059761
11057,-20.03265322,105.8406375
11057.5,-20.18756299,104.6215139
11058,-20.34740448,103.4023904
11058.5,-20.50269466,102.1832669
11059,-20.64520227,100.5976096
11059.5,-20.78286583,100.3320053
11060,-20.93874257,100.3320053
11060.5,-21.12424075,101.8877822
11061,-21.31111833,103.2536521
